Matching Log
------------
iter=33   dual_objective=-685248.0625   dual_grad_norm=5304.04150390625   reg_penalty=1627.836181640625   dual_val_times_grad=1010.5025024414062   max_pos_slack=409.8937072753906   sum_pos_slack=67454.359375
iter=34   dual_objective=-685179.0625   dual_grad_norm=5277.3896484375   reg_penalty=1651.7496337890625   dual_val_times_grad=1056.442138671875   max_pos_slack=399.6012268066406   sum_pos_slack=66792.5625
iter=35   dual_objective=-685111.4375   dual_grad_norm=5252.83837890625   reg_penalty=1675.2855224609375   dual_val_times_grad=1102.1287841796875   max_pos_slack=391.1178894042969   sum_pos_slack=66153.578125
iter=36   dual_objective=-685043.1875   dual_grad_norm=5230.0830078125   reg_penalty=1698.5458984375   dual_val_times_grad=1147.5142822265625   max_pos_slack=383.6145935058594   sum_pos_slack=65533.515625
iter=37   dual_objective=-684975.25   dual_grad_norm=5208.9033203125   reg_penalty=1721.5574951171875   dual_val_times_grad=1192.6181640625   max_pos_slack=376.9858093261719   sum_pos_slack=64932.4140625
iter=38   dual_objective=-684907.1875   dual_grad_norm=5189.1357421875   reg_penalty=1744.313720703125   dual_val_times_grad=1237.4859619140625   max_pos_slack=371.1378173828125   sum_pos_slack=64349.36328125
iter=39   dual_objective=-684839.625   dual_grad_norm=5170.6484375   reg_penalty=1766.802734375   dual_val_times_grad=1282.1746826171875   max_pos_slack=365.9930419921875   sum_pos_slack=63785.5234375
iter=40   dual_objective=-684772.75   dual_grad_norm=5153.2861328125   reg_penalty=1789.0689697265625   dual_val_times_grad=1326.671875   max_pos_slack=361.130126953125   sum_pos_slack=63238.7734375
iter=41   dual_objective=-684706.875   dual_grad_norm=5136.9423828125   reg_penalty=1811.1331787109375   dual_val_times_grad=1370.993896484375   max_pos_slack=356.7054138183594   sum_pos_slack=62706.9765625
iter=42   dual_objective=-684640.0   dual_grad_norm=5121.51904296875   reg_penalty=1833.0052490234375   dual_val_times_grad=1415.1492919921875   max_pos_slack=352.7265625   sum_pos_slack=62186.74609375
iter=43   dual_objective=-684574.875   dual_grad_norm=5106.9326171875   reg_penalty=1854.7105712890625   dual_val_times_grad=1459.15673828125   max_pos_slack=349.0382080078125   sum_pos_slack=61678.140625
iter=44   dual_objective=-684509.625   dual_grad_norm=5093.1279296875   reg_penalty=1876.2047119140625   dual_val_times_grad=1503.0728759765625   max_pos_slack=345.682861328125   sum_pos_slack=61181.1796875
iter=45   dual_objective=-684444.25   dual_grad_norm=5080.0224609375   reg_penalty=1897.5367431640625   dual_val_times_grad=1546.875732421875   max_pos_slack=342.4463806152344   sum_pos_slack=60693.9453125
iter=46   dual_objective=-684379.9375   dual_grad_norm=5067.556640625   reg_penalty=1918.7059326171875   dual_val_times_grad=1590.5843505859375   max_pos_slack=339.27691650390625   sum_pos_slack=60216.62890625
iter=47   dual_objective=-684315.3125   dual_grad_norm=5055.69482421875   reg_penalty=1939.6986083984375   dual_val_times_grad=1634.238037109375   max_pos_slack=336.2891540527344   sum_pos_slack=59749.1953125
iter=48   dual_objective=-684251.75   dual_grad_norm=5044.38720703125   reg_penalty=1960.523681640625   dual_val_times_grad=1677.8427734375   max_pos_slack=333.43084716796875   sum_pos_slack=59293.23828125
